aX,aY,aZ,gX,gY,gZ
-1.792,-0.137,0.960,-22.095,-38.452,-103.149
-1.642,-0.260,1.171,5.737,-48.828,-102.966
-1.365,-0.445,1.364,29.297,-51.514,-102.417
-1.089,-0.699,1.424,50.781,-45.349,-97.107
-0.884,-0.839,1.316,66.406,-30.884,-82.947
-0.801,-0.838,1.083,74.585,-15.564,-62.683
-0.765,-0.816,0.939,77.454,-6.104,-43.701
-0.766,-0.844,0.753,79.102,-1.953,-24.658
-0.759,-0.705,0.725,76.477,-3.296,-3.662
-0.744,-0.414,0.796,72.388,-9.460,17.029
-0.691,-0.181,0.870,67.017,-13.367,29.785
-0.653,-0.033,0.896,57.617,-13.672,35.828
-0.621,0.028,0.907,44.495,-11.230,39.917
-0.584,-0.057,0.896,28.931,-8.667,42.419
-0.604,-0.129,0.905,14.893,-5.798,47.363
-0.643,-0.161,0.895,11.108,-2.686,53.711
-0.712,-0.095,0.832,13.794,-2.014,59.082
-0.781,-0.050,0.750,23.071,-3.967,60.852
-0.833,-0.087,0.738,31.860,-8.789,59.509
-0.872,-0.107,0.774,33.508,-13.306,60.486
-0.882,-0.098,0.862,28.809,-15.503,64.087
-0.869,-0.048,1.002,13.916,-13.855,68.787
-0.846,-0.007,1.136,1.282,-8.972,72.449
-0.850,0.016,1.140,-6.653,0.854,73.853
-0.864,-0.003,1.070,-8.789,10.498,74.402
-0.853,-0.080,1.029,-8.240,16.724,74.646
-0.832,-0.108,1.086,-9.766,20.691,78.613
-0.829,-0.146,1.017,-9.216,29.114,83.862
-0.835,-0.050,0.900,-1.526,36.133,88.196
-0.781,0.011,0.790,5.371,34.424,88.440
-0.679,-0.092,0.756,2.380,28.076,84.534
-0.549,-0.149,0.799,-5.676,21.179,84.534
-0.399,-0.224,0.841,-6.592,16.541,85.388
-0.264,-0.275,0.906,-3.540,14.526,86.060
-0.170,-0.193,0.982,1.038,13.672,88.440
-0.075,-0.026,1.005,4.639,15.930,88.196
-0.030,-0.009,1.156,1.648,18.311,81.726
-0.007,-0.046,1.119,-6.226,26.184,73.425
0.062,-0.116,1.078,-11.780,33.569,66.406
0.159,-0.198,1.163,-12.146,34.363,58.594
0.246,-0.268,1.104,-7.446,38.940,52.917
0.298,-0.339,1.020,-4.456,43.335,49.194
0.346,-0.321,0.959,-0.732,43.152,46.997
0.429,-0.330,0.960,8.972,39.673,42.297
0.504,-0.375,0.948,19.592,37.659,34.912
0.584,-0.351,0.985,19.348,37.842,32.104
0.667,-0.217,1.077,5.859,39.368,32.837
0.775,-0.013,1.083,-2.991,45.288,28.259
0.867,-0.127,1.069,-12.024,54.138,14.343
0.896,-0.326,1.040,-22.522,62.927,0.000
0.931,-0.485,0.967,-26.001,70.068,-5.981
0.974,-0.513,0.886,-23.315,74.402,-7.629
1.030,-0.474,0.786,-13.672,74.097,-6.470
1.099,-0.386,0.672,-4.578,70.679,-5.188
1.205,-0.194,0.592,1.160,64.514,-2.014
1.298,-0.106,0.588,0.427,55.542,-1.709
1.355,-0.019,0.483,-0.366,49.500,-0.977
1.384,0.144,0.406,6.714,40.894,0.305
1.366,0.422,0.324,14.343,30.396,0.916
1.310,0.648,0.274,15.076,19.531,-2.136
1.226,0.788,0.292,8.728,7.996,-11.230
1.073,0.728,0.316,-1.160,-0.793,-25.574
0.902,0.455,0.418,-16.785,-9.583,-42.480
0.721,0.117,0.589,-28.625,-19.531,-55.115
0.546,-0.214,0.737,-32.532,-26.489,-61.707
0.411,-0.516,0.869,-28.137,-31.677,-63.416
0.283,-0.691,0.925,-17.334,-33.936,-58.960
0.179,-0.803,0.970,-8.118,-35.583,-50.476
0.124,-0.917,1.079,-5.066,-37.598,-41.321
0.108,-0.965,1.177,-1.709,-36.865,-30.701
0.134,-0.896,1.234,5.188,-32.959,-19.226
0.142,-0.780,1.195,12.268,-25.940,-9.888
0.170,-0.659,1.146,14.648,-20.020,-3.235
0.181,-0.543,1.046,13.489,-14.465,1.465
0.203,-0.498,0.984,11.475,-11.902,4.883
0.236,-0.457,1.006,8.728,-12.634,8.423
0.260,-0.393,1.010,9.705,-12.390,12.756
0.277,-0.317,1.010,12.268,-11.353,16.174
0.281,-0.175,0.957,15.015,-9.644,18.677
0.268,-0.070,0.910,16.113,-8.240,17.700
0.249,-0.039,0.880,13.672,-7.690,14.038
0.227,-0.043,0.905,9.216,-7.996,9.827
0.196,-0.122,0.914,4.517,-7.812,5.249
0.167,-0.202,0.911,-0.549,-8.057,2.258
0.137,-0.272,0.904,-2.380,-8.850,1.099
0.111,-0.347,0.864,-1.709,-10.864,1.404
0.101,-0.387,0.897,0.061,-14.771,3.662
0.112,-0.344,0.944,2.869,-18.005,6.653
0.137,-0.243,1.001,6.592,-19.226,8.423
0.163,-0.126,1.041,7.324,-17.151,7.080
0.159,-0.158,1.044,1.648,-13.062,3.113
0.138,-0.254,1.042,-6.653,-8.484,-0.793
0.113,-0.337,1.005,-9.094,-5.493,-1.953
0.091,-0.400,0.966,-5.737,-4.822,-1.282
0.083,-0.365,0.947,-1.038,-6.165,1.587
0.087,-0.338,0.958,2.869,-8.789,4.517
0.096,-0.325,0.986,6.409,-10.681,6.226
0.118,-0.249,1.026,9.888,-11.230,7.812
0.146,-0.175,1.049,11.475,-9.521,7.263
0.150,-0.161,1.014,8.667,-5.188,3.906
0.145,-0.183,0.984,2.930,-2.258,1.099
0.135,-0.232,0.948,-0.732,-0.793,-1.099
0.128,-0.290,0.921,-0.793,-1.038,-1.892
0.131,-0.297,0.932,2.075,-2.258,-1.099
0.144,-0.291,0.958,5.371,-3.845,0.610
0.146,-0.238,0.937,9.644,-4.150,1.953
