aX,aY,aZ,gX,gY,gZ
0.818,-0.592,-0.020,1.831,-0.610,-0.610
0.818,-0.570,-0.041,1.709,-0.366,-0.122

-0.352,1.438,0.876,116.028,-82.092,277.710
-0.292,1.513,0.925,95.642,-76.294,266.113
-0.231,1.604,0.964,74.890,-68.909,254.761
-0.162,1.818,0.984,60.608,-60.608,245.056
-0.078,2.026,0.970,55.298,-52.612,230.164
0.015,2.251,0.995,55.847,-46.631,209.167
0.101,2.353,1.026,58.472,-41.199,182.495
0.160,2.463,1.015,60.974,-33.508,155.273
0.213,2.552,1.002,60.791,-25.452,130.188
0.275,2.655,0.985,52.246,-16.724,105.835
0.318,2.827,0.933,37.964,-7.751,82.947
0.354,2.968,0.857,22.888,0.244,56.702
0.377,3.076,0.887,10.193,3.967,26.672
0.381,3.102,0.908,3.418,9.094,-6.897
0.362,3.072,0.875,2.747,16.479,-42.053
0.336,2.993,0.891,2.869,21.179,-77.026
0.272,2.811,0.750,4.272,28.625,-111.023
0.214,2.581,0.756,7.507,30.579,-141.296
0.161,2.388,0.757,8.789,32.959,-165.588
0.109,2.164,0.754,6.042,37.354,-185.486
0.068,1.987,0.758,-0.671,41.565,-200.439
0.037,1.830,0.781,-11.597,45.715,-211.365
0.010,1.749,0.809,-21.301,50.049,-219.666
-0.016,1.663,0.810,-26.794,56.091,-228.882
-0.042,1.547,0.848,-29.297,60.791,-239.563
-0.079,1.408,0.801,-32.654,67.322,-248.657
-0.109,1.289,0.748,-35.828,73.303,-255.249
-0.138,1.167,0.731,-38.940,76.111,-260.559
-0.152,1.025,0.749,-42.114,78.552,-264.771
-0.161,0.917,0.766,-45.593,81.360,-266.113
-0.160,0.860,0.747,-50.842,86.304,-265.137
-0.150,0.823,0.745,-56.519,90.332,-263.855
-0.156,0.797,0.721,-59.753,94.055,-263.245
-0.158,0.766,0.686,-60.730,97.839,-264.343
-0.158,0.777,0.700,-59.631,99.731,-266.663
-0.180,0.742,0.625,-58.716,103.455,-272.156
-0.198,0.659,0.599,-57.983,104.858,-279.541
-0.214,0.578,0.581,-56.030,105.347,-286.316
-0.233,0.449,0.560,-53.894,106.262,-292.419
-0.247,0.327,0.530,-50.903,107.422,-295.349
-0.250,0.254,0.491,-46.021,108.398,-295.044
-0.246,0.200,0.464,-40.161,109.009,-294.189
-0.240,0.151,0.405,-34.973,109.802,-292.969
-0.233,0.140,0.375,-32.959,110.413,-291.870
-0.214,0.107,0.341,-32.166,110.474,-291.931
-0.211,0.054,0.273,-31.921,110.413,-293.884
-0.227,-0.071,0.192,-28.870,109.619,-296.814
-0.231,-0.198,0.167,-23.010,106.384,-298.828
-0.239,-0.365,0.140,-17.517,103.394,-297.729
-0.227,-0.543,0.112,-17.395,102.661,-292.114
-0.206,-0.684,0.071,-23.621,103.271,-280.579
-0.164,-0.696,0.050,-35.217,104.675,-264.099
-0.123,-0.649,-0.030,-49.133,105.286,-248.413
-0.084,-0.595,-0.126,-59.082,103.699,-237.610
-0.049,-0.585,-0.182,-62.134,96.985,-232.788
-0.018,-0.569,-0.167,-58.472,88.257,-231.506
-0.012,-0.668,-0.175,-51.392,80.688,-233.948
-0.019,-0.835,-0.214,-45.288,75.134,-235.779
-0.009,-1.008,-0.229,-43.457,69.885,-232.056
