aX,aY,aZ,gX,gY,gZ
-0.047,0.008,0.673,10.193,12.756,-17.700

-0.267,-0.125,1.932,-54.749,53.223,90.454
-0.294,-0.095,1.708,-46.875,63.904,91.797
-0.301,-0.071,1.588,-43.457,67.444,91.492
-0.301,-0.042,1.612,-41.077,65.674,92.712
-0.299,0.044,1.602,-36.499,66.833,93.140
-0.286,0.132,1.693,-36.133,69.031,91.736
-0.267,0.273,1.721,-38.635,74.646,88.196
-0.213,0.325,1.774,-49.500,83.679,80.078
-0.243,0.296,1.765,-62.500,96.252,69.946
-0.258,0.325,1.643,-74.768,112.183,62.500
-0.253,0.315,1.583,-87.830,125.610,53.833
-0.250,0.301,1.473,-96.497,137.268,44.922
-0.234,0.306,1.401,-102.600,145.935,37.170
-0.223,0.383,1.252,-108.826,155.029,31.738
-0.207,0.460,1.097,-117.432,161.865,25.696
-0.180,0.543,1.046,-126.099,163.452,19.531
-0.158,0.657,0.973,-130.859,164.307,13.123
-0.141,0.752,0.937,-131.775,163.879,3.967
-0.137,0.762,0.935,-130.737,162.659,-7.812
-0.144,0.827,0.927,-135.498,163.147,-19.470
-0.144,0.830,0.815,-139.343,166.809,-32.227
-0.150,0.819,0.852,-143.372,166.626,-45.837
-0.162,0.901,0.769,-150.696,168.457,-56.763
-0.175,0.950,0.620,-146.912,169.739,-71.350
-0.178,0.739,0.511,-121.155,164.673,-91.614
-0.181,0.696,0.600,-99.670,152.222,-102.173
-0.202,0.735,0.568,-87.402,149.109,-106.873
-0.219,0.726,0.388,-81.238,150.879,-114.624
-0.237,0.738,0.275,-80.261,145.874,-121.277
-0.235,0.720,0.161,-76.599,135.864,-128.235
-0.228,0.618,0.205,-64.087,121.155,-136.963
-0.221,0.542,0.162,-55.237,109.375,-142.578
-0.200,0.459,0.134,-57.739,100.952,-145.874
-0.174,0.413,0.200,-64.148,90.271,-147.888
-0.157,0.375,0.218,-65.430,83.618,-148.987
-0.163,0.430,0.126,-59.326,81.360,-149.902
-0.179,0.456,-0.004,-56.580,78.430,-151.489
-0.178,0.399,-0.085,-57.190,70.984,-155.273
-0.152,0.301,-0.182,-57.678,60.730,-158.142
-0.126,0.198,-0.215,-55.664,47.363,-159.424
-0.100,0.101,-0.222,-48.218,33.203,-158.386
-0.071,0.040,-0.199,-44.006,20.203,-155.518
-0.041,0.019,-0.146,-41.138,8.789,-151.855
-0.008,-0.031,-0.088,-47.180,0.549,-148.437
0.020,-0.026,-0.035,-51.392,-5.554,-143.921
0.039,-0.073,-0.135,-53.101,-8.484,-141.602
0.065,-0.191,-0.241,-55.542,-14.648,-141.663
0.088,-0.290,-0.234,-56.274,-27.405,-138.428
0.115,-0.352,-0.169,-57.922,-41.077,-132.690
0.123,-0.386,-0.128,-55.786,-51.514,-126.709
0.136,-0.414,-0.133,-52.673,-61.218,-120.544
0.156,-0.491,-0.071,-55.603,-72.876,-115.784
0.173,-0.555,0.044,-59.265,-84.900,-109.436
0.191,-0.596,0.069,-58.655,-92.773,-102.722
0.199,-0.662,0.071,-57.190,-100.769,-96.313
0.200,-0.726,0.176,-53.955,-112.122,-89.111
0.199,-0.728,0.144,-48.096,-119.812,-80.017
0.202,-0.787,0.140,-40.833,-127.319,-72.632
0.207,-0.831,0.185,-39.368,-138.428,-64.819
0.214,-0.813,0.226,-37.781,-147.522,-55.542
0.210,-0.758,0.233,-30.273,-157.776,-46.265
